0.000	1.2000000000	1.0500000000	1.5000000000	2.4000000000	1.0000000000	0.1000000000	0.4500000000	1.2500000000
0.001	1.2010188482	1.0509223605	1.4990097036	2.3973241539	0.9984435631	0.1000500753	0.4494714000	1.2510000000
0.002	1.2020353937	1.0518394593	1.4980188200	2.3946566013	0.9968942289	0.1001003005	0.4489431032	1.2520000000
0.003	1.2030496376	1.0527513218	1.4970273576	2.3919973211	0.9953519623	0.1001506743	0.4484151145	1.2530000000
0.004	1.2040615813	1.0536579736	1.4960353249	2.3893462921	0.9938167283	0.1002011957	0.4478874384	1.2540000000
0.005	1.2050712261	1.0545594400	1.4950427300	2.3867034933	0.9922884923	0.1002518635	0.4473600798	1.2550000000
0.006	1.2060785732	1.0554557461	1.4940495814	2.3840689035	0.9907672198	0.1003026765	0.4468330433	1.2560000000
0.007	1.2070836239	1.0563469172	1.4930558873	2.3814425017	0.9892528763	0.1003536336	0.4463063335	1.2570000000
0.008	1.2080863796	1.0572329781	1.4920616558	2.3788242669	0.9877454278	0.1004047337	0.4457799549	1.2580000000
0.009	1.2090868415	1.0581139536	1.4910668951	2.3762141783	0.9862448404	0.1004559757	0.4452539122	1.2590000000
0.010	1.2100850110	1.0589898686	1.4900716133	2.3736122148	0.9847510802	0.1005073584	0.4447282098	1.2600000000
0.011	1.2110808895	1.0598607476	1.4890758184	2.3710183557	0.9832641138	0.1005588807	0.4442028522	1.2610000000
0.012	1.2120744782	1.0607266151	1.4880795185	2.3684325800	0.9817839079	0.1006105415	0.4436778437	1.2620000000
0.013	1.2130657785	1.0615874954	1.4870827216	2.3658548671	0.9803104291	0.1006623397	0.4431531889	1.2630000000
0.014	1.2140547919	1.0624434128	1.4860854355	2.3632851962	0.9788436446	0.1007142741	0.4426288920	1.2640000000
0.015	1.2150415196	1.0632943914	1.4850876682	2.3607235466	0.9773835215	0.1007663437	0.4421049573	1.2650000000
0.016	1.2160259631	1.0641404552	1.4840894275	2.3581698976	0.9759300273	0.1008185473	0.4415813890	1.2660000000
0.017	1.2170081237	1.0649816281	1.4830907211	2.3556242287	0.9744831295	0.1008708839	0.4410581916	1.2670000000
0.018	1.2179880029	1.0658179339	1.4820915569	2.3530865192	0.9730427958	0.1009233524	0.4405353690	1.2680000000
0.019	1.2189656021	1.0666493962	1.4810919425	2.3505567487	0.9716089942	0.1009759516	0.4400129255	1.2690000000
0.020	1.2199409228	1.0674760385	1.4800918856	2.3480348967	0.9701816929	0.1010286805	0.4394908652	1.2700000000
0.021	1.2209139662	1.0682978843	1.4790913939	2.3455209427	0.9687608600	0.1010815379	0.4389691922	1.2710000000
0.022	1.2218847340	1.0691149569	1.4780904748	2.3430148663	0.9673464642	0.1011345229	0.4384479105	1.2720000000
0.023	1.2228532275	1.0699272795	1.4770891360	2.3405166472	0.9659384740	0.1011876344	0.4379270242	1.2730000000
0.024	1.2238194483	1.0707348751	1.4760873850	2.3380262651	0.9645368582	0.1012408712	0.4374065371	1.2740000000
0.025	1.2247833977	1.0715377668	1.4750852292	2.3355436997	0.9631415859	0.1012942323	0.4368864533	1.2750000000
0.026	1.2257450773	1.0723359773	1.4740826760	2.3330689307	0.9617526262	0.1013477166	0.4363667767	1.2760000000
0.027	1.2267044885	1.0731295295	1.4730797327	2.3306019381	0.9603699484	0.1014013232	0.4358475110	1.2770000000
0.028	1.2276616330	1.0739184460	1.4720764068	2.3281427016	0.9589935222	0.1014550508	0.4353286602	1.2780000000
0.029	1.2286165120	1.0747027493	1.4710727056	2.3256912011	0.9576233171	0.1015088985	0.4348102280	1.2790000000
0.030	1.2295691273	1.0754824618	1.4700686361	2.3232474167	0.9562593030	0.1015628652	0.4342922182	1.2800000000
0.031	1.2305194803	1.0762576058	1.4690642058	2.3208113282	0.9549014500	0.1016169498	0.4337746346	1.2810000000
0.032	1.2314675725	1.0770282036	1.4680594216	2.3183829158	0.9535497282	0.1016711514	0.4332574807	1.2820000000
0.033	1.2324134056	1.0777942772	1.4670542909	2.3159621595	0.9522041080	0.1017254689	0.4327407603	1.2830000000
0.034	1.2333569810	1.0785558486	1.4660488205	2.3135490394	0.9508645598	0.1017799012	0.4322244771	1.2840000000
0.035	1.2342983002	1.0793129397	1.4650430177	2.3111435357	0.9495310544	0.1018344473	0.4317086345	1.2850000000
0.036	1.2352373650	1.0800655723	1.4640368894	2.3087456286	0.9482035626	0.1018891063	0.4311932361	1.2860000000
0.037	1.2361741768	1.0808137680	1.4630304426	2.3063552984	0.9468820554	0.1019438770	0.4306782855	1.2870000000
0.038	1.2371087372	1.0815575485	1.4620236841	2.3039725252	0.9455665040	0.1019987584	0.4301637862	1.2880000000
0.039	1.2380410479	1.0822969351	1.4610166210	2.3015972896	0.9442568796	0.1020537496	0.4296497415	1.2890000000
0.040	1.2389711104	1.0830319492	1.4600092600	2.2992295718	0.9429531538	0.1021088494	0.4291361550	1.2900000000
0.041	1.2398989264	1.0837626120	1.4590016080	2.2968693522	0.9416552982	0.1021640570	0.4286230300	1.2910000000
0.042	1.2408244974	1.0844889449	1.4579936717	2.2945166115	0.9403632845	0.1022193713	0.4281103699	1.2920000000
0.043	1.2417478251	1.0852109686	1.4569854578	2.2921713299	0.9390770848	0.1022747913	0.4275981780	1.2930000000
0.044	1.2426689111	1.0859287043	1.4559769732	2.2898334882	0.9377966711	0.1023303160	0.4270864575	1.2940000000
0.045	1.2435877571	1.0866421728	1.4549682243	2.2875030669	0.9365220156	0.1023859444	0.4265752118	1.2950000000
